Tipo;Fornecedor;Base Origem;Origem;Base Destino;Destino;VALOR MÍNIMO ATÉ 10;20;30;50;70;100;150;200;300;500;Acima 500;Pedagio (100 Kg);EXCEDENTE;Seguro;PESO MÁXIMO TRANSPORTADO;Gris Min;Gris Exc;Prazo;TDA;UF;TAS;DESPACHO
Agente;MUESTRA;FILIAL;Rubineia;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santa Albertina;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santa Clara D Oeste;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santa Fe do Sul;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santa Rita D Oeste;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santa Salete;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santana da Ponte Pensa;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santo Antonio do Aracangua;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Santopolis do Aguapei;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;São Francisco Xavier;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;São João das Duas Pontes;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Sud Mennucci;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Suzanapolis;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Tres Fronteiras;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Tupa;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Turiuba;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Turmalina;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Urania;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Valparaiso;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Vitoria Brasil;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Votuporanga;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;FILIAL;Zacarias;;;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1500.0;0.0;0.0;3;0;SP;;
Agente;MUESTRA;ARU;Araçatuba;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Ariranha;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Bady Bassitt;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Balsamo;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Barretos;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Bebedouro;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Cajobi;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Catanduva;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Catigua;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Cedral;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Colina;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Cosmorama;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Engenheiro Schmidt;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Fronteira;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;MG;;
Agente;MUESTRA;FILIAL;Guaira;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Guapiacu;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Guaraci;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Ibira;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Icem;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Ipigua;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Jaci;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Jose Bonifacio;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Macaubal;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Mendonca;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Mirassol;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Mirassolandia;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
Agente;MUESTRA;FILIAL;Monte Aprazivel;;;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.73;0.0;1500.0;0.0;0.0;2;0;SP;;
